hour,minute,online
0,9,0
0,19,0
0,29,0
0,39,0
0,49,0
0,59,0
1,9,0
1,19,0
1,29,0
1,39,0
1,49,0
1,59,0
2,9,0
2,19,0
2,29,0
2,39,0
2,49,0
2,59,0
3,9,0
3,19,0
3,29,0
3,39,0
3,49,0
3,59,0
4,9,0
4,19,0
4,29,0
4,39,0
4,49,0
4,59,0
5,9,0
5,19,0
5,29,0
5,39,0
5,49,0
5,59,0
6,9,0
6,19,0
6,29,0
6,39,0
6,49,0
6,59,0
7,9,0
7,19,0
7,29,0
7,39,0
7,49,0
7,59,0
8,9,0
8,19,0
8,29,0
8,39,0
8,49,0
8,59,0
9,9,0
9,19,0
9,29,0
9,39,0
9,49,0
9,59,0
10,9,0
10,19,0
10,29,0
10,39,0
10,49,0
10,59,0
11,9,0
11,19,0
11,29,0
11,39,0
12,20,0
12,29,0
12,39,0
12,49,0
12,59,0
13,9,0
13,19,0
13,29,0
13,39,0
13,49,0
13,59,0
14,9,0
14,19,0
14,29,0
14,39,0
14,49,0
14,59,0
15,9,0
15,19,0
15,29,0
15,39,0
15,49,0
15,59,0
16,9,0
16,19,0
16,29,0
16,39,0
16,49,0
16,59,0
17,9,0
17,19,0
17,29,0
17,39,0
17,49,0
17,59,0
18,9,0
18,19,0
18,29,0
18,39,0
18,49,0
18,59,0
19,9,0
19,19,0
19,29,0
19,39,0
19,49,0
19,59,0
20,9,0
20,19,0
20,29,0
20,39,0
20,49,0
20,59,0
21,9,0
21,19,0
21,29,0
21,39,0
21,49,0
21,59,0
22,9,0
22,19,0
22,29,0
22,39,0
22,49,0
22,59,0
23,9,0
23,19,0
23,29,0
23,39,0
23,49,0
23,59,0
